Wavelength/nm,(NEA)2PbI4,Curve1
516.677,0.58505,
518.784,0.58506,
520.89,0.58506,
522.997,0.58507,
525.104,0.58507,
527.21,0.58507,
529.317,0.58508,
531.424,0.58508,
533.53,0.58508,
535.637,0.58509,
537.744,0.58509,
539.851,0.5851,
541.957,0.5851,
544.064,0.5851,
546.171,0.58511,
548.277,0.58511,
550.384,0.58511,
552.07,0.58399,
553.755,0.58512,
555.44,0.58512,
557.547,0.584,
559.654,0.58401,
561.761,0.58401,
563.867,0.58402,
,,
#,x,Curve5
340.582,0.48707,
342.689,0.4882,
344.796,0.4882,
346.902,0.48933,
348.587,0.48933,
350.694,0.48821,
352.801,0.48934,
354.907,0.48934,
356.592,0.49047,
358.699,0.48935,
360.806,0.48936,
362.913,0.48936,
365.02,0.48936,
366.705,0.48937,
368.39,0.48937,
370.497,0.4905,
372.603,0.4905,
374.289,0.4905,
375.974,0.4905,
378.081,0.49051,
380.188,0.49051,
382.294,0.49052,
384.401,0.49052,
386.086,0.49277,
387.77,0.49502,
389.033,0.49951,
390.296,0.504,
391.138,0.50849,
391.979,0.51411,
392.399,0.51972,
393.24,0.52534,
393.66,0.52983,
394.501,0.53544,
394.921,0.54106,
395.341,0.54667,
395.761,0.55228,
396.181,0.5579,
396.6,0.56351,
397.442,0.568,
398.283,0.57362,
399.547,0.5725,
400.813,0.56689,
401.211,0.56091,
401.345,0.55844,
402.009,0.55632,
402.081,0.55342,
402.925,0.54781,
403.348,0.54219,
404.191,0.53883,
404.614,0.53322,
405.458,0.5276,
406.302,0.52311,
407.146,0.5175,
408.411,0.51301,
409.676,0.50965,
411.363,0.50628,
413.049,0.50292,
415.156,0.5018,
417.263,0.50068,
419.37,0.49956,
421.056,0.49732,
423.162,0.49732,
424.848,0.49733,
426.955,0.49733,
428.64,0.49621,
430.326,0.49509,
432.011,0.49622,
433.697,0.4951,
435.803,0.4951,
437.91,0.4951,
440.017,0.49399,
442.124,0.49399,
443.809,0.49399,
445.915,0.49512,
447.601,0.49512,
449.708,0.494,
451.815,0.49401,
453.921,0.49401,
455.607,0.49401,
457.292,0.49289,
459.399,0.49402,
461.505,0.49402,
463.191,0.49403,
465.297,0.49403,
466.982,0.49516,
469.089,0.49404,
471.196,0.49404,
473.303,0.49404,
474.989,0.49293,
476.674,0.49293,
478.359,0.49293,
480.466,0.49406,
482.151,0.49406,
483.837,0.49294,
485.522,0.49407,
487.629,0.49295,
489.314,0.49407,
491.421,0.49295,
493.528,0.49296,
495.213,0.49408,
497.32,0.49296,
499.005,0.49297,
500.69,0.49409,
502.797,0.4941,
504.482,0.4941,
506.589,0.4941,
508.695,0.49411,
510.381,0.49411,
512.488,0.49411,
514.173,0.49412,
516.28,0.493,
517.965,0.49412,
519.65,0.49413,
521.336,0.49413,
523.021,0.49413,
525.128,0.49301,
526.813,0.49302,
528.92,0.49414,
530.605,0.49302,
532.712,0.49303,
534.398,0.49303,
536.083,0.49303,
538.19,0.49304,
540.296,0.49304,
542.403,0.49304,
544.51,0.49193,
546.195,0.49305,
548.302,0.49193,
550.409,0.49194,
552.515,0.49194,
554.622,0.49194,
556.307,0.49307,
558.414,0.49195,
560.521,0.49195,
562.628,0.49083,
564.735,0.49084,
,,
#,x,Curve6
350.718,0.3984,
352.825,0.39841,
354.932,0.39841,
357.038,0.39842,
359.145,0.39842,
361.252,0.39842,
363.358,0.39843,
365.465,0.39843,
367.572,0.39843,
369.678,0.39844,
371.785,0.39844,
373.892,0.39845,
375.999,0.39845,
378.105,0.39845,
380.212,0.39846,
382.319,0.39846,
384.425,0.39846,
386.532,0.39847,
388.639,0.39847,
390.745,0.3996,
392.852,0.40072,
394.537,0.40185,
396.642,0.40522,
398.327,0.40747,
399.59,0.41196,
400.853,0.41646,
401.694,0.42095,
402.536,0.42656,
403.377,0.43218,
403.797,0.43667,
404.638,0.44228,
405.476,0.45912,
405.896,0.46474,
406.316,0.47035,
406.41,0.47535,
406.542,0.47888,
407.154,0.48719,
407.574,0.49281,
408.837,0.49505,
409.681,0.49056,
410.526,0.48495,
410.948,0.47934,
411.188,0.47465,
411.795,0.46475,
411.853,0.46828,
412.218,0.45914,
412.641,0.45352,
413.063,0.44791,
413.486,0.44342,
414.33,0.43781,
414.753,0.4322,
416.018,0.42771,
416.862,0.4221,
418.128,0.41761,
419.393,0.41312,
421.079,0.40976,
422.765,0.40751,
424.872,0.40527,
426.979,0.40415,
428.665,0.40303,
430.772,0.40191,
432.879,0.40192,
434.986,0.4008,
437.092,0.4008,
439.199,0.40081,
441.306,0.39969,
443.413,0.39969,
445.519,0.39969,
447.626,0.3997,
449.312,0.39858,
450.997,0.3997,
453.104,0.39859,
455.211,0.39859,
457.317,0.39859,
459.424,0.3986,
461.531,0.3986,
463.637,0.3986,
465.744,0.39861,
467.851,0.39861,
469.957,0.39862,
472.064,0.39862,
474.171,0.39862,
476.278,0.39863,
478.384,0.39863,
480.491,0.39863,
482.598,0.39864,
484.704,0.39864,
486.811,0.39865,
488.918,0.39865,
491.024,0.39865,
493.131,0.39866,
495.238,0.39866,
497.345,0.39866,
499.451,0.39867,
501.558,0.39867,
503.665,0.39867,
505.771,0.39868,
507.878,0.39868,
509.985,0.39869,
512.092,0.39869,
514.198,0.39869,
516.305,0.3987,
518.412,0.3987,
520.518,0.3987,
522.625,0.39871,
524.732,0.39871,
526.838,0.39872,
528.945,0.39872,
531.052,0.39872,
533.159,0.39873,
535.265,0.39873,
537.372,0.39873,
539.479,0.39874,
541.585,0.39874,
543.692,0.39875,
545.799,0.39875,
547.905,0.39875,
550.012,0.39876,
552.119,0.39876,
554.226,0.39876,
556.332,0.39877,
558.439,0.39877,
560.546,0.39878,
562.652,0.39878,
,,
#,x,Curve7
350.744,0.30186,
352.85,0.30186,
354.957,0.30187,
357.064,0.30187,
359.171,0.30187,
361.277,0.30188,
363.384,0.30188,
365.491,0.30188,
367.597,0.30189,
369.704,0.30189,
371.81,0.30302,
373.496,0.3019,
375.603,0.3019,
377.288,0.30191,
379.395,0.30191,
381.502,0.30191,
383.187,0.30304,
385.293,0.30416,
387.4,0.30417,
389.506,0.30642,
391.19,0.30979,
392.875,0.31316,
394.138,0.31765,
394.979,0.32214,
395.82,0.32776,
396.662,0.33225,
397.503,0.33787,
397.923,0.34348,
398.764,0.34909,
399.184,0.35471,
399.604,0.3592,
400.024,0.36481,
400.444,0.37043,
401.285,0.37604,
401.705,0.38166,
402.125,0.38727,
402.966,0.39176,
404.231,0.3884,
405.075,0.38391,
405.919,0.37829,
406.342,0.37268,
406.765,0.36707,
